document,extraction_time,summary_time,keyword_extraction_time,mongodb_insertion_time,memory_usage
pdf10.pdf,0.4107673168182373,11.904599905014038,5.435644149780273,0.0,1285013504
pdf1.pdf,0.2023007869720459,13.387014627456665,5.617196321487427,0.0,1284907008
pdf12.pdf,0.0,0.0,0.0,0.0,1284571136
pdf11.pdf,0.14719557762145996,9.679305076599121,6.03517484664917,0.0,1344983040
pdf14.pdf,0.21185851097106934,16.575941562652588,4.017754554748535,0.0,1565032448
pdf13.pdf,0.2281501293182373,16.526304006576538,4.107601881027222,0.0,1565032448
pdf16.pdf,0.2458949089050293,15.762455224990845,5.086177587509155,0.0,1530896384
pdf15.pdf,0.39797377586364746,19.293257236480713,4.4712982177734375,0.0,1513459712
pdf2.pdf,1.434948205947876,16.587536334991455,4.470318078994751,0.0,1318879232
pdf18.pdf,0.2788412570953369,20.09913206100464,4.018471717834473,0.0,1318748160
pdf4.pdf,1.2108392715454102,18.71841859817505,4.289399147033691,0.0,1419550720
pdf3.pdf,2.3914825916290283,22.000892162322998,5.324617624282837,0.0,1419411456
pdf5.pdf,0.05117940902709961,10.714786767959595,5.320574760437012,0.0,1286918144
pdf6.pdf,0.19739818572998047,16.17936944961548,4.655757665634155,0.0,1286774784
pdf7.pdf,0.18977689743041992,16.656779766082764,4.924765348434448,0.0,1102114816
pdf8.pdf,0.20492291450500488,19.02224063873291,3.723721504211426,0.0,1101975552
pdf9.pdf,0.11087679862976074,11.952566385269165,4.494956016540527,0.0,1102073856
